qSpecies,DBH
 Blackwood Acacia,16.162450066577897
 Brisbane Box,9.123857868020304
 Cherry Plum,6.073818897637795
 Hybrid Strawberry Tree,6.415672913117547
 Indian Laurel Fig Tree 'Green Gem',14.830508474576272
 Kwanzan Flowering Cherry,5.998307952622674
 Lemon Bottlebrush,9.322742474916389
 London Plane,14.505757307351638
 Mayten,8.901993355481727
 New Zealand Xmas Tree,12.37924407431134
 Olive Tree,8.199312714776632
 Red Flowering Gum,20.423295454545453
 Southern Magnolia,8.082635983263598
 Swamp Myrtle,5.628472222222222
 Victorian Box,10.675867507886435
