TreeID,qSpecies,qLegalStatus,PlantDate,DBH,Latitude,Longitude
200311, Roundleaf sweetgum,DPW Maintained,,5,37.78919309,-122.3900057
10425, Brazilian Pepper,DPW Maintained,,90,37.7700941,-122.4456931
188921, Lemon Bottlebrush,DPW Maintained,,6,37.75195457,-122.3994817
643, Chinese Banyan,DPW Maintained,,18,37.7523982,-122.4167724
195969, Lombardy Poplar,DPW Maintained,,8,37.74796148,-122.3894345
133773, London Plane,DPW Maintained,,16,37.79246726,-122.4395335
137657, English Hawthorn,DPW Maintained,,6,37.77880441,-122.444757
209974, New Zealand Xmas Tree,DPW Maintained,,6,37.72831263,-122.4581057
9999, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,18,37.76921223,-122.4246565
185626, Myoporum,DPW Maintained,,2,37.7462208,-122.4945042
206468, Cotoneaster,DPW Maintained,,6,37.73360336,-122.4443391
134799, London Plane,DPW Maintained,,9,37.80213141,-122.4191471
22723, Laurel Fig,Permitted Site,,3,37.78042217,-122.432176
200043, Evergreen Pear,DPW Maintained,,2,37.73243786,-122.3895481
177625, New Zealand Xmas Tree,DPW Maintained,,8,37.71603005,-122.4345534
240965, Queen Palm,DPW Maintained,,7,37.75842145,-122.4435561
123907, Victorian Box,DPW Maintained,,17,37.78551,-122.4689918
237971, Cherry,DPW Maintained,,3,37.74838115,-122.41303
212470, Cherry Plum,DPW Maintained,,6,37.72754695,-122.4563102
238522, Kwanzan Flowering Cherry,DPW Maintained,,10,37.73743517,-122.4330686
246246, Victorian Box,DPW Maintained,,11,37.76753847,-122.4443178
21565, London Plane,DPW Maintained,,18,37.78729185,-122.4243405
241428, Swamp Myrtle,DPW Maintained,,4,37.74547208,-122.4382894
19262, Victorian Box,DPW Maintained,,18,37.78219531,-122.4376084
4221, London Plane,DPW Maintained,,18,37.7475408,-122.4285472
3015, London Plane,DPW Maintained,,25,37.78873184,-122.4346644
183551, New Zealand Xmas Tree,DPW Maintained,,16,37.73920093,-122.4798918
230477, Southern Magnolia,DPW Maintained,,3,37.75985952,-122.4110098
201010, Brisbane Box,DPW Maintained,,2,37.76098758,-122.3887564
235173, Victorian Box,DPW Maintained,,20,37.75437628,-122.4373414
129292, Juniper,DPW Maintained,,5,37.79933619,-122.4206539
189193, Fern Pine,DPW Maintained,,6,37.7675104,-122.4015034
243968, Spanish Dagger,DPW Maintained,,6,37.7354219,-122.4283953
83040, Cork Oak,DPW Maintained,,6,37.74092593,-122.3778882
183033, Ornamental Cherry,DPW Maintained,,4,37.7416161,-122.478898
222075, Hybrid Strawberry Tree,DPW Maintained,,7,37.76842185,-122.4186009
193488, Mayten,DPW Maintained,,9,37.76267667,-122.3938569
210059, Flaxleaf Paperbark,DPW Maintained,,16,37.71872861,-122.4550469
191829, Silver Dollar Eucalyptus,DPW Maintained,,22,37.76695268,-122.4055617
104729, Laurel Fig,Undocumented,,22,37.80532222,-122.4094395
204455, Lemon Bottlebrush,DPW Maintained,,6,37.74042389,-122.4690972
142726,,DPW Maintained,,25,37.80445172,-122.4157682
212228, Red Flowering Gum,DPW Maintained,,18,37.73434505,-122.4386923
98974, Bronze Loquat,DPW Maintained,,8,37.7548995,-122.4144648
178204, Monterey Pine,DPW Maintained,,38,37.71110957,-122.4186559
197884, Brush Cherry,DPW Maintained,,3,37.75241549,-122.3886452
250161, Juniper,DPW Maintained,,20,37.77551279,-122.4530825
14053, London Plane,DPW Maintained,,3,37.77713184,-122.4165543
210937, Chinese photinia,DPW Maintained,,5,37.72204312,-122.4550577
123, Mayten,DPW Maintained,,25,37.76735942,-122.4361133
15860, Bronze Loquat,DPW Maintained,,12,37.71396701,-122.4434545
11451, Blackwood Acacia,DPW Maintained,,70,37.78913273,-122.4593903
